"nodeID_from"	"nodeID_to"	"line"	"year"
119	110	"lineb"	1878
110	391	"lineb"	1878
391	98	"lineb"	1878
98	92	"lineb"	1878
92	84	"lineb"	1878
84	424	"lineb"	1878
424	191	"lineb"	1878
191	279	"lineb"	1878
279	234	"lineb"	1878
234	148	"lineb"	1878
148	389	"lineb"	1878
389	375	"lineb"	1878
375	216	"lineb"	1878
216	353	"lineb"	1878
353	308	"lineb"	1878
308	392	"lineb"	1878
392	186	"lineb"	1878
41	39	"linec"	1932
39	34	"linec"	1932
34	27	"linec"	1932
27	22	"linec"	1932
22	20	"linec"	1932
20	14	"linec"	1932
14	8	"linec"	1932
8	3	"linec"	1932
3	139	"linec"	1932
139	132	"linec"	1932
132	127	"linec"	1932
127	119	"linec"	1932
119	110	"linec"	1932
110	101	"linec"	1932
101	93	"linec"	1932
93	86	"linec"	1932
86	72	"linec"	1932
72	29	"linec"	1932
72	30	"linec"	1932
29	424	"linec"	1932
30	424	"linec"	1932
424	399	"linec"	1932
399	203	"linec"	1932
203	210	"linec"	1932
210	273	"linec"	1932
273	289	"linec"	1932
289	303	"linec"	1932
303	293	"linec"	1932
293	317	"linec"	1932
317	222	"linec"	1932
222	268	"linec"	1932
268	359	"linec"	1932
359	314	"linec"	1932
314	413	"linec"	1932
413	378	"linec"	1932
378	382	"linec"	1932
382	189	"linec"	1932
189	322	"linec"	1932
322	416	"linec"	1932
416	393	"linec"	1932
393	250	"linec"	1932
357	175	"lined"	1915
175	312	"lined"	1915
312	260	"lined"	1915
260	51	"lined"	1915
51	411	"lined"	1915
411	46	"lined"	1915
46	44	"lined"	1915
44	40	"lined"	1915
40	38	"lined"	1915
38	35	"lined"	1915
35	27	"lined"	1915
27	20	"lined"	1915
20	110	"lined"	1915
110	391	"lined"	1915
391	98	"lined"	1915
98	92	"lined"	1915
92	84	"lined"	1915
84	424	"lined"	1915
424	191	"lined"	1915
191	279	"lined"	1915
279	234	"lined"	1915
234	148	"lined"	1915
148	412	"lined"	1915
412	266	"lined"	1915
266	374	"lined"	1915
374	77	"lined"	1915
77	88	"lined"	1915
88	354	"lined"	1915
354	263	"lined"	1915
263	102	"lined"	1915
102	106	"lined"	1915
106	351	"lined"	1915
351	117	"lined"	1915
117	125	"lined"	1915
125	53	"lined"	1915
53	60	"lined"	1915
60	160	"lined"	1915
160	76	"lined"	1915
76	159	"lined"	1915
159	224	"lined"	1915
301	366	"linee"	1932
366	307	"linee"	1932
299	404	"linee"	1932
404	302	"linee"	1932
302	185	"linee"	1932
185	307	"linee"	1932
307	120	"linee"	1932
120	262	"linee"	1932
262	114	"linee"	1932
114	111	"linee"	1932
111	429	"linee"	1932
429	277	"linee"	1932
277	249	"linee"	1932
249	385	"linee"	1932
385	112	"linee"	1932
112	355	"linee"	1932
355	96	"linee"	1932
96	401	"linee"	1932
401	89	"linee"	1932
89	376	"linee"	1932
376	73	"linee"	1932
73	320	"linee"	1932
320	252	"linee"	1932
252	391	"linee"	1932
391	101	"linee"	1932
101	93	"linee"	1932
93	86	"linee"	1932
