"nodeID_from"	"nodeID_to"	"line"	"year"
176	80	"ligne8"	1913
80	171	"ligne8"	1913
171	231	"ligne8"	1913
231	215	"ligne8"	1913
215	143	"ligne8"	1913
143	49	"ligne8"	1913
49	86	"ligne8"	1913
86	159	"ligne8"	1913
159	158	"ligne8"	1913
158	74	"ligne8"	1913
74	76	"ligne8"	1913
76	75	"ligne8"	1913
208	24	"ligne9"	1922
24	165	"ligne9"	1922
165	223	"ligne9"	1922
223	93	"ligne9"	1922
93	170	"ligne9"	1922
170	169	"ligne9"	1922
169	120	"ligne9"	1922
120	242	"ligne9"	1922
242	133	"ligne9"	1922
133	253	"ligne9"	1922
253	289	"ligne9"	1922
289	117	"ligne9"	1922
117	4	"ligne9"	1922
4	99	"ligne9"	1922
99	271	"ligne9"	1922
271	173	"ligne9"	1922
271	174	"ligne9"	1922
173	258	"ligne9"	1922
174	258	"ligne9"	1922
258	114	"ligne9"	1922
114	59	"ligne9"	1922
59	249	"ligne9"	1922
249	112	"ligne9"	1922
112	31	"ligne9"	1922
31	282	"ligne9"	1922
282	246	"ligne9"	1922
246	183	"ligne9"	1922
183	257	"ligne9"	1922
257	301	"ligne9"	1922
301	52	"ligne9"	1922
52	254	"ligne9"	1922
254	179	"ligne9"	1922
179	40	"ligne9"	1922
40	163	"ligne9"	1922
163	221	"ligne9"	1922
221	251	"ligne9"	1922
251	78	"ligne9"	1922
78	152	"ligne9"	1922
